City,State,Total Search Volume,Average CPC
Oakland,California,170,58.11
Oceanside,California,50,
Odessa,Texas,40,75.28
Oklahoma City,Oklahoma,470,49.26
Olathe,Kansas,10,
Omaha,Nebraska,220,173.66
Ontario,California,160,
Orange,California,120,75.9
Orlando,Florida,520,104.08
Overland Park,Kansas,60,15.49
Oxnard,California,10,
Palm Bay,Florida,10,
Palm Coast,Florida,10,
Palmdale,California,30,
Pasadena,California,150,
Pasadena,Texas,10,
Paterson,New Jersey,30,
Pearland,Texas,40,
Pembroke Pines,Florida,40,
Peoria,Arizona,80,
Peoria,Illinois,40,
Philadelphia,Pennsylvania,290,21.78
Phoenix,Arizona,2350,165
Pittsburgh,Pennsylvania,210,105.24
Plano,Texas,330,216.88
Plantation,Florida,10,
Pomona,California,30,
Pompano Beach,Florida,50,178.52
Port St. Lucie,Florida,30,84.44
Portland,Oregon,140,57.5
Providence,Rhode Island,60,
Provo,Utah,10,
Pueblo,Colorado,30,
Quincy,Massachusetts,10,
Raleigh,North Carolina,320,73.36
Rancho Cucamonga,California,90,417.45
Reno,Nevada,120,16.21
Renton,Washington,40,
Rialto,California,10,
Richardson,Texas,40,
Richmond,California,10,
Richmond,Virginia,170,12.42
Rio Rancho,New Mexico,10,
Riverside,California,110,176.17
Rochester,Minnesota,30,38.7
Rochester,New York,120,73.47
Rockford,Illinois,120,37.79
Roseville,California,30,111.04
Round Rock,Texas,10,
Sacramento,California,360,100.57
Saint Paul,Minnesota,70,86.02
Salem,Oregon,50,42.95
Salinas,California,60,51.65
Salt Lake City,Utah,170,58.2
San Angelo,Texas,20,23.41
San Antonio,Texas,800,180.73
San Bernardino,California,60,151.71
San Diego,California,1350,132.43
San Francisco,California,240,106.63
San Jose,California,650,103.63
San Mateo,California,10,
Sandy Springs,Georgia,50,55.18
Santa Ana,California,80,104.01
Santa Clara,California,40,
Santa Clarita,California,60,99.58
Santa Maria,California,30,48.6
Santa Rosa,California,410,100.57
Savannah,Georgia,210,142.56
Scottsdale,Arizona,310,
Seattle,Washington,250,59.24
Shreveport,Louisiana,240,107.61
Simi Valley,California,10,
Sioux Falls,South Dakota,530,8.71
South Bend,Indiana,20,17.48
Sparks,Nevada,10,
Spokane,Washington,170,38.04
Spokane Valley,Washington,10,
Springfield,Illinois,60,21.88
Springfield,Massachusetts,10,
Springfield,Missouri,380,9.68
St. George,Utah,40,16.16
St. Louis,Missouri,270,34.33
St. Petersburg,Florida,290,58.44
Stamford,Connecticut,10,
Sterling Heights,Michigan,30,
Stockton,California,250,100.8
Suffolk,Virginia,10,
Sugar Land,Texas,10,
Sunnyvale,California,10,
Sunrise,Florida,30,
Surprise,Arizona,30,
Syracuse,New York,90,74.15
Tacoma,Washington,170,105.88
Tallahassee,Florida,50,25.55
Tampa,Florida,550,66.48
Temecula,California,10,
Tempe,Arizona,270,79.37
Thornton,Colorado,60,73
Thousand Oaks,California,10,
Toledo,Ohio,40,52.28
Topeka,Kansas,40,9.17
Torrance,California,40,76.06
Tracy,California,10,
Tucson,Arizona,450,101.25
Tulsa,Oklahoma,200,40.85
Tuscaloosa,Alabama,10,
Tyler,Texas,40,
Vacaville,California,20,59.2
Vallejo,California,30,
Vancouver,Washington,80,28.68
Ventura,California,10,
Victorville,California,30,
Virginia Beach,Virginia,180,23.48
Visalia,California,120,53.44
Waco,Texas,20,11.37
Warren,Michigan,20,39.57
Washington,District of Columbia,580,43.54
Waterbury,Connecticut,10,
West Covina,California,10,
