City,State,Total Search Volume,Average CPC
Oakland,California,320,58.11
Oceanside,California,80,
Odessa,Texas,90,60.03
Oklahoma City,Oklahoma,1260,48.74
Olathe,Kansas,50,
Omaha,Nebraska,370,126.72
Ontario,California,90,
Orange,California,100,75.9
Orlando,Florida,810,103.79
Overland Park,Kansas,60,
Oxnard,California,50,
Palm Bay,Florida,30,
Palm Coast,Florida,30,
Palmdale,California,50,
Pasadena,California,140,
Pasadena,Texas,50,
Paterson,New Jersey,50,
Pearland,Texas,60,
Pembroke Pines,Florida,50,
Peoria,Arizona,100,
Peoria,Illinois,120,
Philadelphia,Pennsylvania,720,17.73
Phoenix,Arizona,3080,163.5
Pittsburgh,Pennsylvania,560,89.72
Plano,Texas,570,216.88
Plantation,Florida,10,
Pomona,California,60,
Pompano Beach,Florida,60,178.52
Port St. Lucie,Florida,50,84.44
Portland,Oregon,240,49.71
Providence,Rhode Island,100,
Provo,Utah,30,
Pueblo,Colorado,60,
Quincy,Massachusetts,30,
Raleigh,North Carolina,470,75.18
Rancho Cucamonga,California,70,
Reno,Nevada,250,16.21
Renton,Washington,70,
Rialto,California,30,
Richardson,Texas,60,
Richmond,California,30,
Richmond,Virginia,250,12.45
Rio Rancho,New Mexico,30,
Riverside,California,90,
Rochester,Minnesota,50,
Rochester,New York,400,68.12
Rockford,Illinois,220,37.79
Roseville,California,80,111.04
Round Rock,Texas,50,
Sacramento,California,630,96.88
Saint Paul,Minnesota,80,86.02
Salem,Oregon,70,42.95
Salinas,California,50,63.84
Salt Lake City,Utah,320,56.39
San Angelo,Texas,40,23.41
San Antonio,Texas,1430,186.41
San Bernardino,California,130,151.71
San Diego,California,1630,147.94
San Francisco,California,400,113.63
San Jose,California,980,104.21
San Mateo,California,40,
Sandy Springs,Georgia,80,55.18
Santa Ana,California,110,104.01
Santa Clara,California,60,
Santa Clarita,California,60,99.58
Santa Maria,California,50,48.6
Santa Rosa,California,680,101.53
Savannah,Georgia,390,138.31
Scottsdale,Arizona,380,
Seattle,Washington,460,64.87
Shreveport,Louisiana,270,70.1
Simi Valley,California,40,
Sioux Falls,South Dakota,580,9.48
South Bend,Indiana,40,17.48
Sparks,Nevada,40,15.95
Spokane,Washington,270,37.52
Spokane Valley,Washington,30,
Springfield,Illinois,100,21.88
Springfield,Massachusetts,60,
Springfield,Missouri,210,10.24
St. George,Utah,40,
St. Louis,Missouri,620,33.75
St. Petersburg,Florida,240,
Stamford,Connecticut,40,
Sterling Heights,Michigan,40,
Stockton,California,290,100.8
Suffolk,Virginia,50,
Sugar Land,Texas,40,
Sunnyvale,California,20,
Sunrise,Florida,40,
Surprise,Arizona,60,
Syracuse,New York,200,74.15
Tacoma,Washington,400,105.88
Tallahassee,Florida,80,24.38
Tampa,Florida,400,67.6
Temecula,California,50,
Tempe,Arizona,460,79.37
Thornton,Colorado,70,73
Thousand Oaks,California,50,
Toledo,Ohio,70,61.61
Topeka,Kansas,80,9.17
Torrance,California,40,76.06
Tracy,California,30,
Tucson,Arizona,200,119.06
Tulsa,Oklahoma,380,42.18
Tuscaloosa,Alabama,40,
Tyler,Texas,120,
Vacaville,California,40,59.2
Vallejo,California,40,
Vancouver,Washington,250,28.68
Ventura,California,50,
Victorville,California,70,
Virginia Beach,Virginia,400,22.9
Visalia,California,90,75.55
Waco,Texas,30,11.37
Warren,Michigan,20,39.57
Washington,District of Columbia,600,43.54
Waterbury,Connecticut,30,
West Covina,California,40,
West Jordan,Utah,30,
West Palm Beach,Florida,270,169.9
West Valley City,Utah,30,
Westminster,Colorado,100,70.22
Wichita,Kansas,110,9.46
Wichita Falls,Texas,90,59.89
Wilmington,North Carolina,330,62.72
Winston-Salem,North Carolina,250,14.92
Woodbridge,New Jersey,30,59.77
Worcester,Massachusetts,60,
Yonkers,New York,40,
Yuma,Arizona,30,19.58
